PSU Readback Voltage,PSU Readback Current,PSU Voltage Set,Load Current Set,DMM Voltage Measured,key,Programming/Voltage Absolute Error (V),Relative/Voltage Percentage Error (%),PSU Readback Voltage Error (V),PSU Readback Voltage Percentage Error (%)
5.999847,1.999444,6.0,2.0,6.00038367,1,0.00038366999999972506,0.00038366999999972506,-0.0005366699999997948,-0.0005366699999997948
6.998078,1.999444,7.0,2.0,6.99901751,1,-0.000982490000000169,-0.000982490000000169,-0.0009395100000002543,-0.0009395100000002543
7.999357,1.999444,8.0,2.0,7.99953228,1,-0.0004677199999996162,-0.0004677199999996162,-0.000175280000000555,-0.000175280000000555
8.999648,1.999444,9.0,2.0,9.00009048,1,9.048000000078105e-05,9.048000000078105e-05,-0.0004424800000002449,-0.0004424800000002449
9.997941,1.999444,10.0,2.0,9.99873939,1,-0.0012606099999992182,-0.0012606099999992182,-0.0007983899999999267,-0.0007983899999999267
10.99827,1.999119,11.0,2.0,10.9993217,1,-0.0006783000000005757,-0.0006783000000005757,-0.0010516999999996557,-0.0010516999999996557
11.99964,1.999444,12.0,2.0,12.000197,1,0.00019700000000000273,0.00019700000000000273,-0.0005570000000005848,-0.0005570000000005848
13.00001,1.999444,13.0,2.0,13.0007038,1,0.0007038000000001432,0.0007038000000001432,-0.0006938000000005218,-0.0006938000000005218
13.9994,1.999444,14.0,2.0,13.9994653,1,-0.0005346999999993329,-0.0005346999999993329,-6.530000000104508e-05,-6.530000000104508e-05
14.99982,1.999444,15.0,2.0,15.0000574,1,5.739999999931911e-05,5.739999999931911e-05,-0.00023739999999961015,-0.00023739999999961015
16.00026,1.999119,16.0,2.0,16.0006791,1,0.0006790999999992664,0.0006790999999992664,-0.00041909999999845127,-0.00041909999999845127
16.9987,1.999444,17.0,2.0,16.9993734,1,-0.0006266000000003658,-0.0006266000000003658,-0.0006734000000001572,-0.0006734000000001572
17.99918,1.999444,18.0,2.0,17.9999459,1,-5.4099999999834836e-05,-5.4099999999834836e-05,-0.0007659000000010963,-0.0007659000000010963
19.00069,1.999444,19.0,2.0,19.0004424,1,0.0004424000000007311,0.0004424000000007311,0.0002475999999980161,0.0002475999999980161
20.00121,1.999444,20.0,2.0,20.0010354,1,0.0010353999999992425,0.0010353999999992425,0.00017460000000113496,0.00017460000000113496
20.99973,1.999444,21.0,2.0,20.9996242,1,-0.0003758000000004813,-0.0003758000000004813,0.00010580000000004475,0.00010580000000004475
22.0003,1.999444,22.0,2.0,22.0001186,1,0.00011860000000041282,0.00011860000000041282,0.000181399999998888,0.000181399999998888
23.00189,1.999444,23.0,2.0,23.0007194,1,0.0007194000000012579,0.0007194000000012579,0.0011705999999982453,0.0011705999999982453
24.00048,1.999444,24.0,2.0,23.9992466,1,-0.0007534000000006813,-0.0007534000000006813,0.0012334000000002732,0.0012334000000002732
25.00111,1.999444,25.0,2.0,24.9997729,1,-0.0002271000000000356,-0.0002271000000000356,0.001337100000000646,0.001337100000000646
26.00176,1.999444,26.0,2.0,26.0003899,1,0.00038989999999827774,0.00038989999999827774,0.0013701000000025942,0.0013701000000025942
27.00243,1.999444,27.0,2.0,27.0009927,1,0.0009927000000011788,0.0009927000000011788,0.0014372999999991976,0.0014372999999991976
28.0011,1.999444,28.0,2.0,27.9997138,1,-0.0002862000000014575,-0.0002862000000014575,0.0013862000000024466,0.0013862000000024466
29.00282,1.999444,29.0,2.0,29.0003179,1,0.00031789999999887186,0.00031789999999887186,0.002502100000000951,0.002502100000000951
30.00355,1.999444,30.0,2.0,30.0008613,1,0.0008613000000003979,0.0008613000000003979,0.0026887000000002104,0.0026887000000002104
31.00431,1.999444,31.0,2.0,31.0015676,1,0.0015676000000013346,0.0015676000000013346,0.0027423999999989235,0.0027423999999989235
32.00306,1.99977,32.0,2.0,32.0003647,1,0.0003646999999986633,0.0003646999999986633,0.002695299999999179,0.002695299999999179
1.000936,2.99951,1.0,3.0,1.00024907,2,0.0002490699999999624,0.0002490699999999624,0.0006869300000000855,0.0006869300000000855
2.00108,2.99951,2.0,3.0,2.00051431,2,0.0005143099999997958,0.0005143099999997958,0.0005656900000001741,0.0005656900000001741
2.998217,2.99951,3.0,3.0,2.99896595,2,-0.0010340499999998976,-0.0010340499999998976,-0.0007489500000001925,-0.0007489500000001925
3.999412,2.99951,4.0,3.0,3.99940043,2,-0.0005995699999998827,-0.0005995699999998827,1.1569999999849756e-05,1.1569999999849756e-05
4.999619,2.99951,5.0,3.0,4.99995659,2,-4.3409999999965976e-05,-4.3409999999965976e-05,-0.0003375899999999987,-0.0003375899999999987
5.999847,2.99951,6.0,3.0,6.00042043,2,0.0004204300000001382,0.0004204300000001382,-0.0005734300000002079,-0.0005734300000002079
6.998078,2.999835,7.0,3.0,6.99896288,2,-0.0010371200000003356,-0.0010371200000003356,-0.0008848800000000878,-0.0008848800000000878
7.998348,2.99951,8.0,3.0,7.99950177,2,-0.0004982299999998219,-0.0004982299999998219,-0.001153770000000165,-0.001153770000000165
8.999648,2.99951,9.0,3.0,9.00004282,2,4.282000000088715e-05,4.282000000088715e-05,-0.000394820000000351,-0.000394820000000351
9.997941,2.99951,10.0,3.0,9.99871899,2,-0.0012810099999995828,-0.0012810099999995828,-0.0007779899999995621,-0.0007779899999995621
10.99827,2.99951,11.0,3.0,10.9992863,2,-0.0007137000000003724,-0.0007137000000003724,-0.001016299999999859,-0.001016299999999859
11.99964,2.99951,12.0,3.0,12.0000921,2,9.209999999981733e-05,9.209999999981733e-05,-0.0004521000000003994,-0.0004521000000003994
13.00001,2.999835,13.0,3.0,13.0007092,2,0.0007091999999992993,0.0007091999999992993,-0.0006991999999996779,-0.0006991999999996779
